Year,Country/area,Sector,Technology,Sub Technology,Number of Patents
2000,Canada,Power,Solar Energy,Solar Thermal,19
2000,Canada,Power,Wind Energy,Wind Energy,73
2000,Canada,Transport,Bioenergy,Biofuels,25
2000,Canada,Transport,Enabling Technologies,Electromobility - Charging Stations,28
2000,Canada,Transport,Enabling Technologies,Electromobility - Electric Energy Management,33
2000,Canada,Transport,Enabling Technologies,Electromobility - Energy Storage,40
2000,Canada,Transport,Enabling Technologies,Electromobility - Information/Communication Technologies,10
2000,Canada,Transport,Enabling Technologies,Electromobility - Machine related technology ,34
2000,Canada,Transport,Enabling Technologies,Energy Efficiency,56
2000,Canada,Transport,Enabling Technologies,Smart Grids,4
2000,Canada,Transport,Enabling Technologies,Hydrogen (storage and distribution and applications),31
2000,Canada,Waste,Solar Energy,PV - Thermal Hybrid,14
2000,Canada,Waste,Wind Energy,Wind Energy,1
2000,China,Building,Enabling Technologies,Energy Efficiency,70
2000,China,Building,Enabling Technologies,Fuel Cells,6
2000,China,Building,Enabling Technologies,Smart Grids,24
2000,China,Building,Geothermal Energy,Heat pumps,8
2000,China,Building,Hydropower,Hydropower,3
2000,China,Building,Solar Energy,PV,14
2000,China,Building,Solar Energy,PV - Thermal Hybrid,5
2000,China,Building,Solar Energy,Solar Thermal,26
2000,China,Building,Wind Energy,Wind Energy,6
2000,China,CCUS,Enabling Technologies,CCUS,33
2000,China,Industry,Bioenergy,Fuel from waste,1
2000,China,Industry,Enabling Technologies,CCUS,1
2000,China,Industry,Enabling Technologies,Cross-cutting,6
2000,China,Industry,Enabling Technologies,Energy Efficiency,8
2000,China,Industry,Enabling Technologies,Energy Storage - General,3
2000,China,Industry,Enabling Technologies,Fuel Cells,1
2000,China,Industry,Enabling Technologies,Hydrogen (storage and distribution and applications),19
2000,China,Power,Bioenergy,Biofuels,43
2000,China,Power,Bioenergy,Fuel from waste,56
2000,China,Power,Enabling Technologies,Batteries,553
2000,China,Power,Enabling Technologies,Energy Storage - General,8
2000,China,Power,Enabling Technologies,Fuel Cells,156
2000,China,Power,Enabling Technologies,Thermal energy storage,17
2000,China,Power,Enabling Technologies,"Ultracapacitors, supercapacitors, double-layer capacitors",25
2000,China,Power,Enabling Technologies,Hydrogen (storage and distribution and applications),23
2000,China,Power,Enabling Technologies,Green hydrogen (water eloctrolysis),18
2000,China,Power,Enabling Technologies,"Mechanical energy storage, e.g. flywheels or pressurised fluids",8
2000,China,Power,Geothermal Energy,Geothermal Energy,7
2000,China,Power,Hydropower,Hydropower,65
2000,China,Power,Ocean Energy,Ocean Energy,14
2000,China,Power,Solar Energy,PV,86
2000,China,Power,Solar Energy,PV - Thermal Hybrid,5
2000,China,Power,Solar Energy,Solar Thermal,418
2000,China,Power,Wind Energy,Wind Energy,84
2000,China,Transport,Bioenergy,Biofuels,23
2000,China,Transport,Enabling Technologies,Electromobility - Charging Stations,55
2000,China,Transport,Enabling Technologies,Electromobility - Electric Energy Management,48
2000,China,Transport,Enabling Technologies,Electromobility - Energy Storage,58
